Date,Hour,Rented eScooter Count,Distance from centre(km),Temperature(°C),Wind speed (m/s),Visibility(10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall(cm),Season,Scheme Functioning
08/01/2021,19,127,2.069895614,2.9,1.6,290,-0.8,0,0,0.5,Winter,Yes
08/01/2021,20,144,8.361953594,3,1.9,407,-0.6,0,0,1,Winter,Yes
08/01/2021,21,146,3.29478563,2.7,6.7,692,-2.8,0,0.9,1,Winter,Yes
08/01/2021,22,149,6.262956522,2.1,4.6,740,-5.1,0,0,1,Winter,Yes
08/01/2021,23,112,9.540209185,1.4,4.2,936,-6.9,0,0,1,Winter,Yes
09/01/2021,0,100,6.75838453,0.8,4.6,983,-6.5,0,0,1,Winter,Yes
09/01/2021,1,107,3.616670229,0.1,5,791,-6.8,0,0,1,Winter,Yes
09/01/2021,2,75,3.241070454,-0.9,3.3,1515,-8.3,0,0,1,Winter,Yes
09/01/2021,3,52,5.694703868,-1.4,3.2,1420,-8.6,0,0,0.9,Winter,Yes
09/01/2021,4,38,4.514702406,-2.3,4.4,1451,-11.1,0,0,0.9,Winter,Yes
09/01/2021,5,52,4.760792058,-3.1,3.2,1821,-14.4,0,0,0.9,Winter,Yes
09/01/2021,6,126,6.348398355,-3.6,3.7,1785,-13.9,0,0,0.9,Winter,Yes
09/01/2021,7,245,0.558464848,-3.9,3.1,1686,-13,0,0,0.8,Winter,Yes
09/01/2021,8,554,5.793463903,-4,3.2,1384,-11.7,0,0,0.7,Winter,Yes
09/01/2021,9,320,7.833981144,-4,2.5,1547,-12.3,0.13,0,0.6,Winter,Yes
09/01/2021,10,190,1.060966875,-2.8,3,1559,-12,0.47,0,0.5,Winter,Yes
09/01/2021,11,247,8.430378358,-1.9,4.5,1746,-12.5,0.73,0,0.5,Winter,Yes
09/01/2021,12,262,6.337941957,-0.7,2.4,1707,-13,1.05,0,0.4,Winter,Yes
09/01/2021,13,265,7.615964448,-0.6,4,1663,-12.9,1.11,0,0.3,Winter,Yes
09/01/2021,14,265,1.730186303,0.2,3.7,1922,-12.1,1.06,0,0.2,Winter,Yes
09/01/2021,15,257,3.057668988,-0.4,4.6,1458,-11.1,0.46,0,0,Winter,Yes
09/01/2021,16,262,4.868283388,-0.4,3.3,1541,-9.9,0.35,0,0,Winter,Yes
09/01/2021,17,332,4.930039383,-0.9,3.6,743,-8.3,0.23,0,0,Winter,Yes
09/01/2021,18,558,9.079655737,-1.8,1.7,1996,-10.8,0.01,0,0,Winter,Yes
09/01/2021,19,364,8.631564389,-2.5,0.6,2000,-11.7,0,0,0,Winter,Yes
09/01/2021,20,302,2.862315679,-2.9,0.6,1992,-11.6,0,0,0,Winter,Yes
09/01/2021,21,281,3.279246917,-2.8,0.9,2000,-11.6,0,0,0,Winter,Yes
09/01/2021,22,166,6.326681216,-2.2,1.6,503,-9.4,0,0,0,Winter,Yes
09/01/2021,23,80,5.773863242,-2.9,0.7,690,-7.8,0,0,0.2,Winter,Yes
10/01/2021,0,61,8.913777594,-3.2,0.8,152,-7.7,0,0.5,0.5,Winter,Yes
10/01/2021,1,78,2.810775284,-3.6,1.7,1982,-9.3,0,0,0.8,Winter,Yes
10/01/2021,2,63,4.54270069,-3.7,1.2,1925,-9.9,0,0,0.8,Winter,Yes
10/01/2021,3,40,2.117943945,-4.1,1.1,2000,-10.6,0,0.3,0.8,Winter,Yes
10/01/2021,4,31,2.216864429,-4.6,2.2,2000,-10.8,0,0,0.8,Winter,Yes
10/01/2021,5,39,3.488660643,-5.3,1.6,2000,-10.9,0,0,0.8,Winter,Yes
10/01/2021,6,84,7.870274969,-5.7,1.1,2000,-11.5,0,0,0.8,Winter,Yes
10/01/2021,7,158,1.293299662,-6,1.8,2000,-12.5,0,0,0.7,Winter,Yes
10/01/2021,8,387,8.966398277,-5.9,2.6,1896,-12.9,0,0,0.7,Winter,Yes
10/01/2021,9,225,7.638689766,-5.7,3.6,1637,-13.7,0.13,0,0.7,Winter,Yes
10/01/2021,10,150,0.666621156,-4.9,3.2,1576,-14.8,0.52,0,0.6,Winter,Yes
10/01/2021,11,168,0.0551739,-4.4,4.5,1759,-15.3,0.86,0,0.5,Winter,Yes
10/01/2021,12,217,0.689939966,-3.6,4.5,1830,-15.9,1.1,0,0.5,Winter,Yes
10/01/2021,13,207,1.747913374,-3.1,4.7,1901,-15.7,1.18,0,0.4,Winter,Yes
10/01/2021,14,177,6.906993086,-3.3,5.3,2000,-17.7,1.05,0,0.3,Winter,Yes
10/01/2021,15,193,9.822543689,-3.3,4.8,2000,-19,0.99,0,0.3,Winter,Yes
10/01/2021,16,196,8.131095402,-3.4,3.9,2000,-20.2,0.69,0,0.2,Winter,Yes
10/01/2021,17,266,9.965662179,-4.5,4,2000,-19.8,0.31,0,0,Winter,Yes
10/01/2021,18,437,8.50886094,-5.8,4.5,2000,-21.6,0.02,0,0,Winter,Yes
10/01/2021,19,259,8.781765835,-6.5,2.9,2000,-21.2,0,0,0,Winter,Yes
10/01/2021,20,207,0.297043529,-6.9,2.3,2000,-19.7,0,0,0,Winter,Yes
10/01/2021,21,214,4.25065752,-7.4,2,2000,-18.6,0,0,0,Winter,Yes
10/01/2021,22,165,5.852918326,-7.7,2.8,2000,-17.9,0,0,0,Winter,Yes
10/01/2021,23,139,0.843436067,-8.2,3.3,1997,-17.9,0,0,0,Winter,Yes
11/01/2021,0,98,7.016604793,-8.3,2.4,1988,-17.8,0,0,0,Winter,Yes
11/01/2021,1,100,6.359530176,-8.6,2.9,1987,-17.9,0,0,0,Winter,Yes
11/01/2021,2,89,7.694905033,-8.9,2.7,1900,-17.7,0,0,0,Winter,Yes
11/01/2021,3,38,6.018838017,-9.2,2.9,1872,-17.6,0,0,0,Winter,Yes
11/01/2021,4,33,9.218333595,-9.5,2.3,1899,-18.3,0,0,0,Winter,Yes
11/01/2021,5,42,7.881293301,-9.9,1.8,1759,-17.9,0,0,0,Winter,Yes
11/01/2021,6,82,7.896210165,-10,2.3,1709,-18,0,0,0,Winter,Yes
11/01/2021,7,203,5.280588526,-10.3,2.3,1738,-18.6,0,0,0,Winter,Yes
11/01/2021,8,443,6.299921796,-10.6,1.6,1610,-18.5,0,0,0,Winter,Yes
11/01/2021,9,227,9.552057179,-10,2.6,1781,-19.6,0.16,0,0,Winter,Yes
11/01/2021,10,152,4.907930734,-9.1,3.7,1638,-20.4,0.48,0,0,Winter,Yes
11/01/2021,11,146,9.507471483,-8.2,3.5,1629,-20.9,0.84,0,0,Winter,Yes
11/01/2021,12,187,3.596761135,-6.6,2.6,1700,-19.8,1.11,0,0,Winter,Yes
11/01/2021,13,178,8.514354943,-6.6,3.4,1593,-19.5,1.2,0,0,Winter,Yes
11/01/2021,14,187,4.505277688,-5.4,3.3,1718,-19.3,1.15,0,0,Winter,Yes
11/01/2021,15,181,0.494163935,-6.3,3.8,1745,-18.9,0.93,0,0,Winter,Yes
11/01/2021,16,179,7.380314096,-6.2,2.8,1807,-19.7,0.63,0,0,Winter,Yes
11/01/2021,17,219,2.742175924,-7.3,2.8,1900,-19.6,0.28,0,0,Winter,Yes
11/01/2021,18,352,4.682126138,-8.4,2.3,1985,-20.6,0.02,0,0,Winter,Yes
11/01/2021,19,251,6.123432414,-8.9,3,2000,-20.7,0,0,0,Winter,Yes
11/01/2021,20,177,0.286488616,-9.6,1.8,1953,-20.1,0,0,0,Winter,Yes
11/01/2021,21,162,0.509315275,-10.4,2.2,1992,-20.4,0,0,0,Winter,Yes
11/01/2021,22,172,3.464859485,-10.9,2.8,2000,-20.7,0,0,0,Winter,Yes
11/01/2021,23,119,2.945393723,-11.2,1.5,1972,-21.2,0,0,0,Winter,Yes
12/01/2021,0,105,4.268822333,-11.6,1.6,2000,-22,0,0,0,Winter,Yes
12/01/2021,1,99,8.519540888,-11.7,3,2000,-22.6,0,0,0,Winter,Yes
12/01/2021,2,83,4.654234946,-11.8,2.6,2000,-23.7,0,0,0,Winter,Yes
12/01/2021,3,42,0.805935402,-12.1,1.8,2000,-23.4,0,0,0,Winter,Yes
12/01/2021,4,30,5.112078826,-12.3,2,2000,-23.6,0,0,0,Winter,Yes
12/01/2021,5,35,6.629050467,-12.6,1.1,2000,-23.9,0,0,0,Winter,Yes
12/01/2021,6,92,8.848586792,-12.9,2.3,2000,-24.2,0,0,0,Winter,Yes
12/01/2021,7,189,7.914903619,-13.1,0.9,2000,-24.4,0,0,0,Winter,Yes
12/01/2021,8,419,5.04660801,-13.1,1.2,2000,-24.6,0,0,0,Winter,Yes
12/01/2021,9,196,9.575454603,-12.9,1.2,1999,-25.5,0.16,0,0,Winter,Yes
12/01/2021,10,119,7.144555391,-11,2.2,1960,-24.6,0.59,0,0,Winter,Yes
12/01/2021,11,140,7.084053145,-9.2,2.4,1944,-25,0.94,0,0,Winter,Yes
12/01/2021,12,178,2.217870525,-7.6,2,1945,-25.1,1.17,0,0,Winter,Yes
12/01/2021,13,177,7.155385434,-6.2,2,1920,-23.1,1.19,0,0,Winter,Yes
12/01/2021,14,173,6.883900262,-5.2,2.3,1990,-22.6,1.14,0,0,Winter,Yes
12/01/2021,15,177,1.812081005,-4.5,2.4,1987,-22.8,0.96,0,0,Winter,Yes
12/01/2021,16,196,5.578176137,-3.8,1.1,2000,-24.6,0.66,0,0,Winter,Yes
12/01/2021,17,259,0.325466055,-4.5,1.5,2000,-24.7,0.28,0,0,Winter,Yes
12/01/2021,18,405,1.57114855,-5.5,2,2000,-22.9,0.02,0,0,Winter,Yes
12/01/2021,19,273,2.937463416,-6.2,1.1,2000,-22,0,0,0,Winter,Yes
12/01/2021,20,210,8.58250793,-5.9,1.4,2000,-22.1,0,0,0,Winter,Yes
12/01/2021,21,184,0.840379715,-5.4,1.4,2000,-20.9,0,0,0,Winter,Yes
